,id,synopsis,rating,genre,director,writer,theater_date,dvd_date,runtime_in_minutes,main_genre,supporting_genre
849,1096,"Harry Hook directed this second screen adaptation of William Golding's cult novel about a group of British schoolchildren who revert to savagery when marooned on a deserted island. The new adaptation replaces British school children with a group of American military cadets and instead of a shipwreck, their plane crashes into the sea. The children swim ashore onto an island and try to fend for themselves, with the only surviving adult wracked with fever and crazed with pain. As the children get the feel of the island, the group separates into two different camps: Ralph (Balthazar Getty) and his followers prefer to act civilized and want to expand their efforts toward finding a way off the island; on the other hand, Jack (Chris Furrh) and his band revert to painting their faces, carrying spears and exploiting the island for survival. When the chances for rescue become less and less likely, the two factions go to war with each other, with tragic results.",R,Action and Adventure|Drama,Harry Hook,Jay Presson Allen|Sara Schiff,1989-01-01,2001-11-20,90,Action and Adventure,Drama
853,1101,"This Academy Award-nominated classic, voted one of the American Film Institute's top 100 Films Of All Time, features the coming of age of four teenagers on their last summer night before college. Rediscover drag racing, Inspiration Point and drive-ins all over again in this nostalgic look back at the early '60s. The incredible soundtrack brings you the most memorable rock 'n' roll hits of the era. Directed by George Lucas and produced by Francis Ford Coppola, this classic stars Harrison Ford, Richard Dreyfuss, Ron Howard, Suzanne Somers, Cindy Williams, Wolfman Jack and Mackenzie Phillips. Capture the heart of America's last age of innocence with American Graffiti.",PG,Comedy|Drama,George Lucas,George Lucas|Gloria Katz|Willard Huyck,1973-08-01,1998-09-15,113,Comedy,Drama
854,1102,"Teenaged Anne Frank, a Dutch Jew, perished along with most of the rest of her family in a Nazi concentration camp, but her hopes, dreams, and optimistic outlook have endured thanks to the publication of her diary in 1952. After intense negotiations with Anne's father, the sole survivor of the Frank family, The Diary of Anne Frank was dramatized in 1954 in a Pulitzer Prize-winning version by Frances Goodrich and Albert Hackett. In the 1959 film version, director George Stevens could stage many dialogue sequences in furtive whispers, conveying the precariousness of the Franks' existence, and that of their fellow exiles, the Van Daan family and fussy dentist Mr. Dussel, during the two years they spent hiding from the Gestapo in a tiny Amsterdam attic. Along with Millie Perkins as Anne, the movie also features such veterans as Joseph Schildkraut as Otto Frank, Shelley Winters as Mrs. Van Daan, Lou Jacobi as Mr. Van Daan, and Ed Wynn as Dussel. Oscars went to supporting actress Winters and cinematographer William C. Mellor.",PG,Classics|Drama,George Stevens,Albert Hackett|Frances Goodrich,1959-03-18,2004-02-03,156,Classics,Drama
855,1103,"In this stop-motion animated comedy set in prehistoric times, a tribe of primitive hunters are displaced from their homes by emissaries from a distant empire that has mastered bronze-making. However, a tribesman named Dug (voice of Eddie Redmayne) tries to win his home back by challenging the invaders to a game of soccer. Directed by Nick Park, best known as the creator of the beloved animated duo Wallace and Gromit. Tom Hiddleston, Maisie Williams, Timothy Spall, and Richard Ayoade also lend their voices.",PG,Animation|Comedy|Kids and Family,Nick Park,Mark Burton|James Higginson,2018-02-16,2018-05-22,89,Animation,Comedy|Kids and Family
860,1112,"Three sisters Sachi, Yoshino and Chika live together in a large house in the city of Kamakura. When their father absent from the family home for the last 15 years dies, they travel to the countryside for his funeral and meet their shy teenage half-sister. Bonding quickly with the orphaned Suzu, they invite her to live with them. Suzu eagerly agrees, and a new life of joyful discovery begins for the four siblings.",PG,Drama,Hirokazu Koreeda,Hirokazu Koreeda,2016-07-08,2016-11-22,128,Drama,
861,1113,"Luke Wilson, Giovanni Ribisi, and Gabriel Macht headline director/co-screenwriter George Gallo's fact-based period comedy detailing the rise of the internet porn business in the mid-'90s. Businessman Jack Harris (Wilson) made his living solving other people's problems. Wayne Beering (Ribisi) and Buck Dolby (Macht) were two technological innovators with a plan to make a mint by selling pornography online. When Jack met Wayne and Buck, it was a match made in money heaven. Before long the trio was making 200,000 dollars a day, but it wouldn't last. When a young porn star begins muscling Jack from one side and the FBI starts asking questions on the other, the foolproof plan to get wealthy beyond his wildest dreams becomes an inescapable trap that threatens to break up his family and destroy his livelihood. Kelsey Grammer, Kevin Pollack, Terry Crews, and Christopher McDonald co-star.",R,Comedy|Drama,George Gallo,George Gallo|Andy Weiss,2010-08-06,2011-02-08,112,Comedy,Drama
864,1116,"In director Dennis Hopper's comedy reminiscent of The Last Detail, Rock Reilly (Tom Berenger), a gruff naval veteran who plays by the rules, arrives at a Marine base, in tow with his wheeler-dealer companion Eddie Devane (William McNamara), and finds himself assigned to escort the voluptuous Toni Johnson (Erika Eleniak) to military prison, Toni being sentenced from seven to ten years for assault and going AWOL. As in The Last Detail, the three service-persons get to know each other (in the case of Toni and Rock, they get to know each other intimately) as they make their way across the Southeastern seaboard to deliver Toni to prison. As they travel on, Toni repeatedly tries to escape from the two men as the trio encounters an array of guest-star cameos (Gary Busey, Seymour Cassel, Crispin Glover, Dean Stockwell, Frederic Forrest, and Marilu Henner -- among others). Even Hopper himself makes an appearance -- as a dirty old man with an inflatable date.",R,Comedy,Dennis Hopper,John Rice|Joe Batteer|Dan Gilroy|Joe Gayton,1994-04-22,2000-12-05,105,Comedy,
865,1119,"A newspaper publisher convinces a writer to falsely produce circumstantial evidence in a murder investigation to incriminate himself, thus proving that such evidence is useless. His evidence is so convincing that he is unable to prove his innocence.",NR,Drama|Mystery and Suspense,Fritz Lang,Douglas Morrow,1956-09-05,2009-12-22,80,Drama,Mystery and Suspense
867,1121,"Peter Yates directs the early '70s comedy caper The Hot Rock, based on the Donald Westlake novel and adapted for the screen by William Goldman. Robert Redford stars as John Archibald Dortmunder, a former jewel thief just released from prison. His brother-in-law, Andrew Kelp (George Segal), recruits him to steal a diamond from a museum. They are hired by Dr. Amusa (Moses Gunn), an ambassador from Central Fatawi, whose people consider the stone to be sacred. John and Andrew assemble a team with Alan Greenberg (Paul Sand) and Stan Murch (Ron Leibman). They successfully pull off the job until the guards arrest them and Alan swallows the diamond. Alan's father (Zero Mostel) helps him break out of jail, which leads to a series of other heist attempts.",PG,Action and Adventure|Classics|Comedy|Drama,Peter Yates,William Goldman,1972-01-26,2003-05-20,105,Action and Adventure,Classics|Comedy|Drama
868,1122,"TOUCHY FEELY is a closely observed examination of a family whose delicate psychic balance suddenly unravels. Abby (Rosemarie DeWitt), is a sought after massage therapist and a free spirit, while her brother Paul (Josh Pais) thrives on routine and convention, running a flagging dental practice and co-dependently enlisting the assistance of his emotionally stunted daughter Jenny (Ellen Page). Suddenly, transformation touches everyone. Abby develops an uncontrollable aversion to bodily contact, which not only makes her occupation impossible but severely hinders the passionate love life between her and her boyfriend (Scoot McNairy.) Meanwhile, rumors of Paul's ""healing touch"" begin to miraculously invigorate his practice as well as his life outside the office. As Abby navigates her way through a soul-searching identity crisis, her formerly skeptical brother discovers a whole new side of himself. TOUCHY FEELY is about the experience of living in one's own skin, both literally and figuratively. The film, written and directed by Shelton, and co-starring Allison Janney, Ron Livingston, and newcomer Tomo Nakayama (of the indie rock band Grand Hallway), is filmed on location in Shelton's hometown and urban muse of Seattle. (c) Magnolia",R,Drama,Lynn Shelton,Lynn Shelton,2013-09-06,2013-12-10,90,Drama,
871,1126,"Olive Higgins Prouty's popular novel was transformed into nearly two hours of high-grade soap opera by several masters of the trade: Warner Bros., Bette Davis, Paul Henreid, director Irving Rapper, and screenwriter Casey Robinson. Davis plays repressed Charlotte Vale, dying on the vine thanks to her domineering mother (Gladys Cooper). All-knowing psychiatrist Dr. Jaquith (Claude Rains) urges Charlotte to make several radical changes in her life, quoting Walt Whitman: ""Now voyager sail thou forth to seek and find."" Slowly, Charlotte emerges from her cocoon of tight hairdos and severe clothing to blossom into a gorgeous fashion plate. While on a long ocean voyage, she falls in love with Jerry Durrance (Henreid), who is trapped in a loveless marriage. After kicking over the last of her traces at home, Charlotte selflessly becomes a surrogate mother to Jerry's emotionally disturbed daughter (a curiously uncredited Janis Wilson), who is on the verge of becoming the hysterical wallflower that Charlotte once was. An interim romance with another man (John Loder) fails to drive Jerry from Charlotte's mind. The film ends ambiguously; Jerry is still married, without much chance of being divorced from his troublesome wife, but the newly self-confident Charlotte is willing to wait forever if need be. ""Don't ask for the moon,"" murmurs Charlotte as Max Steiner's romantic music reaches a crescendo, ""we have the stars."" In addition to this famous line, Now, Voyager also features the legendary ""two cigarettes"" bit, in which Jerry places two symbolic cigarettes between his lips, lights them both, and hands one to Charlotte. The routine would be endlessly lampooned in subsequent films, once by Henreid himself in the satirical sword-and-sandal epic Siren of Baghdad (1953).",NR,Classics|Drama|Romance,Irving Rapper,Casey Robinson,1942-10-22,2001-11-13,117,Classics,Drama|Romance
